animal,body,brain
African elephant,6654,5712
Asian elephant,2547,4603
Cat,3.3,25.6
Chimpanzee,52.16,440
Chinchilla,0.425,6.4
Cow,465,423
Dog,14.83,98.2
Donkey,187.1,419
Dwarf porcupine,0.9,2.6
Ferret,0.785,12.3
Fox,10.55,179.5
Giraffe,529,680
Goat,27.66,115
Golden hamster,0.12,1
Gorilla,207,406
Grey wolf,36.33,119.5
Guinea pig,1.04,5.5
Hedgehog,0.55,2.4
Horse,521,655
House mouse,0.023,0.4
Human,62,1320
Jaguar,100,157
Kangaroo,35,56
Mole,0.122,3
Mountain beaver,1.35,8.1
Mouse,0.28,1.9
Pig,250,490
Potar monkey,10,115
Rabbit,2.5,12.1
Rat,0.48,15.5
Rhesus monkey,6.8,179
Sheep,55.5,175
Squirrel,0.75,6.5
Tiger,160,169
