Year,Population
1840,553
1850,629
1860,3494
1870,4428
1880,11013
1890,14575
1900,22258
1905,25299
1910,29860
1915,32368
1920,34876
1925,42174
1930,53120
1935,60082
1940,87930
1945,101289
1950,137000
1951,142000
1952,146000
1953,151000
1954,156000
1955,161000
1956,166000
1957,171000
1958,177000
1959,183000
1960,189000
1961,195000
1962,202000
1963,209000
1964,217000
1965,224000
1966,232000
1967,240000
1968,249000
1969,258000
1970,267000
1971,277000
1972,287000
1973,297000
1974,308000
1975,320000
1976,331000
1977,344000
1978,356000
1979,369000
1980,383000
1981,399000
1982,415000
1983,431000
1984,448000
1985,466000
1986,485000
1987,504000
1988,525000
1989,546000
1990,569000
1991,596000
1992,625000
1993,655000
1994,687000
1995,720000
1996,755000
1997,792000
1998,830000
1999,870000
2000,911000
2001,950000
2002,990000
2003,1031000
2004,1075000
2005,1120000
2006,1167000
2007,1216000
2008,1268000
2009,1321000
2010,1377000
2011,1434000
2012,1495000
2013,1558000
2014,1623000
2015,1692000
2016,1763000
2017,1838000
2018,1915000
2019,1985000
2020,2053000
2021,2117000
