"item","ped","IPA"
"WOODCHUCK GUMPTION 6PK              ",-1.63,FALSE
"BUD 12PK CAN                        ",-1.2,FALSE
"NO-LI BORN AND RAISED IPA 22        ",-2.59,TRUE
"BALLAST PT SCULPIN 22               ",-1.34,FALSE
"BALLAST PT EVEN KEEL IPA 6PK        ",-3.06,TRUE
"WIDMER HEFEWEIZEN 6PK               ",-1.62,FALSE
"WIDMER UPHEAVAL IPA 6PK             ",-2.49,TRUE
"WIDMER OMISSION LAGER 6 PK          ",-1.14,FALSE
"WIDMER OMISSION PALE 6PK            ",-2.07,FALSE
"WIDMER OMISSION IPA 6PK             ",-3.17,TRUE
"FOSTERS LAGER 25.4 CAN              ",-1.26,FALSE
"UINTA HOP NOSH IPA 6PK CAN          ",-2.93,TRUE
"BUD 18PK CAN                        ",-0.92,FALSE
"ROLLING ROCK 6PK 16 CAN             ",-2.18,FALSE
"COORS LT 12PK CAN                   ",-1.02,FALSE
"BLUEMOON 6PK                        ",-1.86,FALSE
"BLUEMOON 12PK                       ",-1.2,FALSE
"COORS LT ALUM 15PK                  ",-1.01,FALSE
"BLUEMOON SEASONAL 6PK               ",-1.76,FALSE
"BLUEMOON WHITE IPA 6PK              ",-2.52,TRUE
"SMITH&FORGE HARD CIDER 6PK          ",-0.87,FALSE
"COORS 16OZ 6PK CN                   ",-1.79,FALSE
"COORS BANQUET 18/12 CAN             ",-1.21,FALSE
"SHOCK TOP 6PK                       ",-1.86,FALSE
"COORS BANQUET 9PK ALUMINUM          ",-1.18,FALSE
"COORS BANQUET STUBBY 6PK            ",-2.03,FALSE
"COORS LT 6PK BTL                    ",-2.12,FALSE
"COORS LT 18PK CAN                   ",-1.12,FALSE
"Coors Light 24-12 Can               ",-1.14,FALSE
"COORS LT 24OZ                       ",-1.26,FALSE
"COORS LT 12PK BTL                   ",-1.3,FALSE
"COORS LITE 16 OZ                    ",-1.15,FALSE
"COORS LT 9PK ALUM BTL               ",-1.47,FALSE
"COORS LT 16OZ PK CN                 ",-1.5,FALSE
"BUD LIGHT LIME 12PK BTLS            ",-1.12,FALSE
