"","AWD","RWD","Retail","Dealer","Engine","Cylinders","Horsepower","CityMPG","HighwayMPG","Weight","Wheelbase","Length","Width","Class"
"Acura 3.5 RL",0,0,43755,39014,3.5,6,225,18,24,3880,115,197,72,"Sedan"
"Acura 3.5 RL Navigation",0,0,46100,41100,3.5,6,225,18,24,3893,115,197,72,"Sedan"
"Acura MDX",1,0,36945,33337,3.5,6,265,17,23,4451,106,189,77,"SUV"
"Acura NSX S",0,1,89765,79978,3.2,6,290,17,24,3153,100,174,71,"Sports"
"Acura RSX",0,0,23820,21761,2,4,200,24,31,2778,101,172,68,"Sedan"
"Acura TL",0,0,33195,30299,3.2,6,270,20,28,3575,108,186,72,"Sedan"
"Acura TSX",0,0,26990,24647,2.4,4,200,22,29,3230,105,183,69,"Sedan"
"Audi A4 1.8T",0,0,25940,23508,1.8,4,170,22,31,3252,104,179,70,"Sedan"
"Audi A4 1.8T convertible",0,0,35940,32506,1.8,4,170,23,30,3638,105,180,70,"Sedan"
"Audi A4 3.0 convertible",0,0,42490,38325,3,6,220,20,27,3814,105,180,70,"Sedan"
"Audi A4 3.0",0,0,31840,28846,3,6,220,20,28,3462,104,179,70,"Sedan"
"Audi A4 3.0 Quattro manual",1,0,33430,30366,3,6,220,17,26,3583,104,179,70,"Sedan"
"Audi A4 3.0 Quattro auto",1,0,34480,31388,3,6,220,18,25,3627,104,179,70,"Sedan"
"Audi A4 3.0 Quattro convertible",1,0,44240,40075,3,6,220,18,25,4013,105,180,70,"Sedan"
"Audi A6 2.7 Turbo Quattro four-door",1,0,42840,38840,2.7,6,250,18,25,3836,109,192,71,"Sedan"
"Audi A6 3.0",0,0,36640,33129,3,6,220,20,27,3561,109,192,71,"Sedan"
"Audi A6 3.0 Avant Quattro",1,0,40840,37060,3,6,220,18,25,4035,109,192,71,"Wagon"
"Audi A6 3.0 Quattro",1,0,39640,35992,3,6,220,18,25,3880,109,192,71,"Sedan"
"Audi A6 4.2 Quattro",1,0,49690,44936,4.2,8,300,17,24,4024,109,193,71,"Sedan"
"Audi A8 L Quattro",1,0,69190,64740,4.2,8,330,17,24,4399,121,204,75,"Sedan"
"Audi S4 Avant Quattro",1,0,49090,44446,4.2,8,340,15,21,3936,104,179,70,"Wagon"
"Audi S4 Quattro",1,0,48040,43556,4.2,8,340,14,20,3825,104,179,70,"Sedan"
"Audi RS 6",0,0,84600,76417,4.2,8,450,15,22,4024,109,191,78,"Sports"
"Audi TT 1.8",0,0,35940,32512,1.8,4,180,20,28,3131,95,159,73,"Sports"
"Audi TT 1.8 Quattro",1,0,37390,33891,1.8,4,225,20,28,2921,96,159,73,"Sports"
"Audi TT 3.2",1,0,40590,36739,3.2,6,250,21,29,3351,96,159,73,"Sports"
"BMW 325i",0,1,28495,26155,2.5,6,184,20,29,3219,107,176,69,"Sedan"
"BMW 325Ci",0,1,30795,28245,2.5,6,184,20,29,3197,107,177,69,"Sedan"
"BMW 325Ci convertible",0,1,37995,34800,2.5,6,184,19,27,3560,107,177,69,"Sedan"
"BMW 325xi",1,0,30245,27745,2.5,6,184,19,27,3461,107,176,69,"Sedan"
"BMW 325xi Sport",1,0,32845,30110,2.5,6,184,19,26,3594,107,176,69,"Wagon"
"BMW 330Ci",0,1,36995,33890,3,6,225,20,30,3285,107,176,69,"Sedan"
"BMW 330Ci convertible",0,1,44295,40530,3,6,225,19,28,3616,107,177,69,"Sedan"
"BMW 330i",0,1,35495,32525,3,6,225,20,30,3285,107,176,69,"Sedan"
"BMW 330xi",1,0,37245,34115,3,6,225,20,29,3483,107,176,69,"Sedan"
"BMW 525i four-door",0,1,39995,36620,2.5,6,184,19,28,3428,114,191,73,"Sedan"
"BMW 530i four-door",0,1,44995,41170,3,6,225,20,30,3472,114,191,73,"Sedan"
"BMW 545iA four-door",0,1,54995,50270,4.4,8,325,18,26,3814,114,191,73,"Sedan"
"BMW 745i four-door",0,1,69195,63190,4.4,8,325,18,26,4376,118,198,75,"Sedan"
"BMW 745Li four-door",0,1,73195,66830,4.4,8,325,18,26,4464,123,204,75,"Sedan"
"BMW M3",0,1,48195,44170,3.2,6,333,16,24,3415,108,177,70,"Sports"
"BMW M3 convertible",0,1,56595,51815,3.2,6,333,16,23,3781,108,177,70,"Sports"
"BMW X3 3.0i",1,0,37000,33873,3,6,225,16,23,4023,110,180,73,"SUV"
"BMW X5 4.4i",1,0,52195,47720,4.4,8,325,16,22,4824,111,184,74,"SUV"
"BMW Z4 convertible 2.5i two-door",0,1,33895,31065,2.5,6,184,20,28,2932,98,161,70,"Sports"
"BMW Z4 convertible 3.0i two-door",0,1,41045,37575,3,6,225,21,29,2998,98,161,70,"Sports"
"Buick Century Custom",0,0,22180,20351,3.1,6,175,20,30,3353,109,195,73,"Sedan"
"Buick LeSabre Custom four-door",0,0,26470,24282,3.8,6,205,20,29,3567,112,200,74,"Sedan"
