"age","hrmax"
25,190
43,176
19,203
31,177
23,183
27,201
39,184
34,181
19,198
27,197
38,190
45,161
26,181
46,178
25,192
21,195
58,175
29,188
62,171
44,176
32,173
29,185
24,198
41,184
27,193
24,196
31,189
25,212
35,184
35,182
30,185
54,169
57,152
37,182
56,176
45,187
42,185
43,174
33,192
25,187
47,171
28,187
43,185
48,178
28,181
45,169
35,190
35,189
23,197
49,177
46,184
26,196
20,198
48,173
63,166
26,189
72,171
51,163
37,179
32,190
42,180
36,182
26,182
40,163
44,180
31,177
21,195
40,177
36,184
43,175
48,191
36,193
27,187
31,188
21,198
36,165
30,180
47,170
37,176
37,182
42,175
30,190
36,191
23,187
63,160
44,178
30,192
22,197
33,201
38,177
27,199
56,190
35,178
29,187
55,181
29,189
32,174
27,195
26,201
31,185
34,189
41,170
28,187
30,189
42,171
29,185
59,171
25,195
27,180
32,199
62,153
35,184
51,172
35,194
29,178
36,167
46,173
57,171
23,201
40,184
46,174
23,192
24,187
27,196
26,176
51,169
33,182
27,185
55,170
54,164
29,186
67,167
32,202
42,175
30,192
37,171
42,177
29,181
49,164
25,175
20,190
31,178
37,188
29,187
28,191
28,194
52,177
31,194
30,183
39,178
31,196
