home,nbhd,sqft,price
1,nbhd02,1790,114300
2,nbhd02,2030,114200
3,nbhd02,1740,114800
4,nbhd02,1980,94700
5,nbhd02,2130,119800
6,nbhd01,1780,114600
7,nbhd03,1830,151600
8,nbhd03,2160,150700
9,nbhd02,2110,119200
10,nbhd02,1730,104000
11,nbhd02,2030,132500
12,nbhd02,1870,123000
13,nbhd01,1910,102600
14,nbhd01,2150,126300
15,nbhd03,2590,176800
16,nbhd03,1780,145800
17,nbhd02,2190,147100
18,nbhd01,1990,83600
19,nbhd02,1700,111400
20,nbhd03,1920,167200
21,nbhd02,1790,116200
22,nbhd01,2000,113800
23,nbhd01,1690,91700
24,nbhd01,1820,106100
25,nbhd02,2210,156400
26,nbhd01,2290,149300
27,nbhd03,2000,137000
28,nbhd02,1700,99300
29,nbhd01,1600,69100
30,nbhd03,2040,188000
31,nbhd03,2250,182000
32,nbhd01,1930,112300
33,nbhd02,2250,135000
34,nbhd02,2280,139600
35,nbhd01,2000,117800
36,nbhd01,2080,117100
37,nbhd01,1880,117500
38,nbhd03,2420,147000
39,nbhd03,1720,131300
40,nbhd01,1740,108200
41,nbhd02,1560,106600
42,nbhd03,1840,133600
43,nbhd02,1990,105600
44,nbhd02,1920,154000
45,nbhd03,1940,166500
46,nbhd02,1810,103200
47,nbhd01,1990,129800
48,nbhd01,2050,90300
49,nbhd02,1980,115900
50,nbhd01,1700,107500
51,nbhd02,2100,151100
52,nbhd01,1860,91100
53,nbhd01,2150,117400
54,nbhd01,2100,130800
55,nbhd01,1650,81300
56,nbhd02,1720,125700
57,nbhd02,2190,140900
58,nbhd03,2240,152300
59,nbhd03,1840,138100
60,nbhd03,2090,155400
61,nbhd03,2200,180900
62,nbhd01,1610,100900
63,nbhd03,2220,161300
64,nbhd02,1910,120500
65,nbhd03,1860,130300
66,nbhd01,1450,111100
67,nbhd01,2210,126200
68,nbhd02,2040,151900
69,nbhd01,2140,93600
70,nbhd03,2080,165600
71,nbhd03,1950,166700
72,nbhd03,2160,157600
73,nbhd01,1650,107300
74,nbhd02,2040,125700
75,nbhd03,2140,144200
76,nbhd01,1900,106900
77,nbhd03,1930,129800
78,nbhd03,2280,176500
79,nbhd01,2130,121300
80,nbhd03,1780,143600
81,nbhd02,2190,143400
82,nbhd03,2140,184300
83,nbhd03,2050,164800
84,nbhd02,2410,147700
85,nbhd01,1520,90500
86,nbhd03,2250,188300
87,nbhd01,1900,102700
88,nbhd03,1880,172500
89,nbhd01,1930,127700
90,nbhd01,2010,97800
91,nbhd03,1920,143100
92,nbhd02,2150,116500
93,nbhd03,2110,142600
94,nbhd02,2080,157100
95,nbhd03,2150,160600
96,nbhd03,1970,152500
97,nbhd02,2440,133300
98,nbhd02,2000,126800
99,nbhd03,2060,145500
100,nbhd03,2080,171000
101,nbhd01,2010,103200
102,nbhd02,2260,123100
103,nbhd02,2410,136800
104,nbhd03,2440,211200
105,nbhd02,1910,82300
106,nbhd03,2530,146900
107,nbhd01,2130,108500
108,nbhd02,1890,134000
109,nbhd02,1990,117000
110,nbhd02,2110,108700
111,nbhd01,1710,111600
112,nbhd01,1740,114900
113,nbhd02,1940,123600
114,nbhd01,2000,115700
115,nbhd02,2010,124500
116,nbhd01,1900,102500
117,nbhd03,2290,199500
118,nbhd01,1920,117800
119,nbhd01,1950,150200
120,nbhd01,1920,109700
121,nbhd01,1930,110400
122,nbhd02,1930,105600
123,nbhd02,2060,144800
124,nbhd02,1900,119700
125,nbhd02,2160,147900
126,nbhd01,2070,113500
127,nbhd03,2020,149900
128,nbhd01,2250,124600
