"city","price","vol","disp"
"Houston",2.48,6834,"yes"
"Detroit",2.75,5505,"no"
"Dallas",2.92,3201,"no"
"Atlanta",2.89,4099,"yes"
"Cincinnati",2.69,5568,"no"
"Indianapolis",2.67,4134,"yes"
"Nashville",2.88,2669,"yes"
"Louisville",2.7,2403,"yes"
"Columbus",2.65,3352,"yes"
"Birmingham",2.65,1613,"yes"
"Roanoke",2.72,4011,"no"
"Houston",2.46,6847,"yes"
"Detroit",2.75,4010,"no"
"Dallas",2.92,3230,"no"
"Atlanta",2.97,4651,"no"
"Cincinnati",2.65,5091,"no"
"Indianapolis",2.66,3524,"yes"
"Nashville",2.83,2439,"yes"
"Louisville",2.68,3242,"yes"
"Columbus",1.72,11942,"yes"
"Birmingham",2.65,1728,"yes"
"Roanoke",2.7,4336,"yes"
"Houston",2.44,8010,"yes"
"Detroit",2.75,3945,"no"
"Dallas",2.92,3082,"no"
"Atlanta",2.94,4090,"yes"
"Cincinnati",2.65,5545,"no"
"Indianapolis",2.68,3378,"yes"
"Nashville",2.81,2413,"yes"
"Louisville",2.68,3120,"yes"
"Columbus",2.65,4572,"yes"
"Birmingham",2.65,1416,"yes"
"Roanoke",2.77,3737,"yes"
"Houston",2.44,13066,"yes"
"Detroit",2.81,3630,"no"
"Dallas",3.73,3047,"no"
"Atlanta",2.38,8076,"yes"
"Cincinnati",2.65,6201,"no"
"Indianapolis",2.66,3882,"yes"
"Nashville",2.83,2810,"yes"
"Louisville",2.69,3154,"yes"
"Columbus",2,13588,"yes"
"Birmingham",2.65,1618,"no"
"Roanoke",2.89,4433,"yes"
"Houston",2.44,10467,"yes"
"Detroit",2.75,4386,"no"
"Dallas",3.73,2240,"yes"
"Atlanta",2.41,9017,"yes"
"Cincinnati",2.89,5546,"no"
"Indianapolis",2.65,3517,"yes"
"Nashville",2.12,4272,"yes"
"Louisville",2.68,3734,"yes"
"Columbus",2.65,5153,"yes"
"Birmingham",2.16,2183,"no"
"Roanoke",2.45,5923,"no"
"Houston",2.38,8937,"yes"
"Detroit",2.69,4574,"no"
"Dallas",3.73,2158,"no"
"Atlanta",2.34,8984,"yes"
"Cincinnati",2.9,5167,"no"
"Indianapolis",2.65,3991,"yes"
"Nashville",2.12,5121,"yes"
"Louisville",2.69,4811,"yes"
"Columbus",2.65,5131,"yes"
"Birmingham",2.16,1894,"no"
"Roanoke",2.46,5702,"no"
"Houston",2.42,13536,"yes"
"Detroit",2.45,6389,"yes"
"Dallas",2.65,7010,"yes"
"Atlanta",2.38,8395,"yes"
"Cincinnati",2.39,5610,"no"
"Indianapolis",2.65,3801,"yes"
"Nashville",2.19,4815,"yes"
"Louisville",2.69,3346,"yes"
"Columbus",1.99,11903,"yes"
"Birmingham",2.15,2233,"yes"
"Roanoke",2.48,4843,"yes"
"Houston",2.44,13675,"yes"
"Detroit",2.49,4861,"no"
"Dallas",2.67,4740,"yes"
"Atlanta",2.39,7286,"yes"
"Cincinnati",2.42,5103,"yes"
"Indianapolis",2.65,3219,"yes"
"Nashville",2.12,4000,"yes"
"Louisville",2.68,3445,"yes"
"Columbus",2.65,7112,"yes"
"Birmingham",2.14,2276,"yes"
"Roanoke",2.45,5640,"yes"
"Houston",2.47,11749,"yes"
"Detroit",2.74,4198,"no"
"Dallas",2.65,3415,"yes"
"Atlanta",2.36,6438,"yes"
"Cincinnati",2.87,4425,"yes"
"Indianapolis",2.65,3217,"yes"
"Nashville",2.23,4142,"yes"
"Louisville",2.69,4100,"yes"
"Columbus",3.05,3733,"yes"
"Birmingham",2.15,1952,"yes"
"Roanoke",2.43,5797,"yes"
"Houston",2.47,11938,"yes"
"Detroit",2.7,3561,"no"
"Dallas",3.12,2242,"yes"
"Atlanta",2.44,6672,"yes"
"Cincinnati",2.9,3882,"yes"
"Indianapolis",2.65,3277,"yes"
"Nashville",2.65,3414,"yes"
"Louisville",2.8,799,"yes"
"Columbus",3.05,2299,"no"
"Birmingham",2.62,1594,"no"
"Roanoke",2.46,5299,"yes"
"Houston",2.49,9016,"yes"
"Detroit",2.72,4361,"yes"
"Dallas",3.1,1824,"no"
"Atlanta",2.38,6086,"yes"
"Cincinnati",2.91,3915,"yes"
"Indianapolis",2.65,3839,"yes"
"Nashville",2.57,3160,"yes"
"Louisville",2.69,2018,"yes"
"Columbus",3.05,3378,"no"
"Birmingham",2.63,1376,"no"
"Roanoke",2.47,4747,"yes"
"Houston",2.48,7165,"no"
"Detroit",2.74,4533,"no"
"Dallas",3.11,2380,"no"
"Atlanta",2.42,5834,"yes"
"Cincinnati",2.92,4362,"yes"
"Indianapolis",2.65,3642,"yes"
"Nashville",2.58,2923,"yes"
"Louisville",2.7,2515,"yes"
"Columbus",3.45,2958,"no"
"Birmingham",2.62,1396,"no"
"Roanoke",2.45,5377,"yes"
"Houston",2.48,7311,"no"
"Detroit",2.73,4439,"yes"
"Dallas",3.15,2679,"no"
"Atlanta",3.38,3754,"yes"
"Cincinnati",2.9,4639,"yes"
"Indianapolis",2.65,3768,"yes"
"Nashville",2.59,2936,"yes"
"Louisville",2.7,2576,"yes"
"Columbus",3.4,2389,"no"
"Birmingham",2.62,1407,"yes"
"Roanoke",2.46,4361,"yes"
"Houston",2.49,7553,"no"
"Detroit",2.73,4530,"no"
"Dallas",3.73,2623,"no"
"Atlanta",3.18,3749,"yes"
"Cincinnati",3.01,4257,"yes"
"Indianapolis",2.65,3658,"yes"
"Nashville",2,4561,"yes"
"Louisville",2.72,2231,"yes"
"Columbus",2.21,10323,"yes"
"Birmingham",2.02,2083,"yes"
"Roanoke",2.48,5319,"yes"
"Houston",2.48,7923,"no"
"Detroit",2.73,4370,"no"
"Dallas",3.73,1979,"no"
"Atlanta",3.15,4040,"yes"
"Cincinnati",3.01,4067,"yes"
"Indianapolis",2.65,3402,"yes"
"Nashville",2.05,4412,"yes"
"Louisville",2.69,1910,"yes"
"Columbus",3.17,3771,"yes"
"Birmingham",2.02,2156,"yes"
"Roanoke",2.47,4209,"yes"
"Houston",2.49,9606,"no"
"Detroit",2.71,5280,"no"
"Dallas",2.65,2588,"no"
"Atlanta",3.15,4126,"yes"
"Cincinnati",3.03,3910,"yes"
"Indianapolis",2.65,3732,"yes"
"Nashville",2.01,4557,"yes"
"Louisville",2.71,2411,"yes"
"Columbus",3.19,2318,"yes"
"Birmingham",2.05,1981,"no"
"Roanoke",2.5,4298,"yes"
"Houston",2.43,14127,"yes"
"Detroit",2.74,3998,"no"
"Dallas",3.74,2214,"no"
"Atlanta",3.14,4035,"no"
"Cincinnati",3.05,3387,"yes"
"Indianapolis",2.65,3581,"yes"
"Nashville",2.91,2595,"yes"
"Louisville",2.72,2303,"yes"
"Columbus",3.19,2149,"yes"
"Birmingham",2.6,1550,"yes"
"Roanoke",2.47,3461,"yes"
"Houston",2.45,12107,"yes"
