"hour","date","ERCOT"
0,2010-12-25,30709.07969
1,2010-12-25,29651.297783
2,2010-12-25,29086.869654
3,2010-12-25,28825.465836
4,2010-12-25,28837.120454
5,2010-12-25,29233.761498
6,2010-12-25,30153.078695
7,2010-12-25,31499.278551
8,2010-12-25,33017.237401
9,2010-12-25,34491.146589
10,2010-12-25,35563.42978
11,2010-12-25,35901.520129
12,2010-12-25,35632.604544
13,2010-12-25,34648.027409
14,2010-12-25,33230.11664
15,2010-12-25,31980.78166
16,2010-12-25,31232.57116
17,2010-12-25,31399.383825
18,2010-12-25,33630.076614
19,2010-12-25,36351.896688
20,2010-12-25,37052.064985
21,2010-12-25,37484.01635
22,2010-12-25,37466.676702
23,2010-12-25,36902.997197
0,2011-12-25,34077.32222
1,2011-12-25,32737.001672
2,2011-12-25,31802.119967
3,2011-12-25,31158.253856
4,2011-12-25,30812.390358
5,2011-12-25,30870.644546
6,2011-12-25,31445.647922
7,2011-12-25,32431.962519
8,2011-12-25,33632.019617
9,2011-12-25,34799.496441
10,2011-12-25,35645.836446
11,2011-12-25,35556.594557
12,2011-12-25,35131.980533
13,2011-12-25,34402.146901
14,2011-12-25,33216.624331
15,2011-12-25,32226.64431
16,2011-12-25,31700.034222
17,2011-12-25,31761.948745
18,2011-12-25,33483.356025
19,2011-12-25,35104.023515
20,2011-12-25,35252.127019
21,2011-12-25,35136.431263
22,2011-12-25,34666.233013
23,2011-12-25,33524.380088
0,2012-12-25,29589.35113
1,2012-12-25,28107.11083
2,2012-12-25,27146.055053
3,2012-12-25,26552.054098
4,2012-12-25,26195.510794
5,2012-12-25,26174.45293
6,2012-12-25,26676.097279
7,2012-12-25,27568.117301
8,2012-12-25,28626.697349
9,2012-12-25,30150.962856
10,2012-12-25,31678.553709
11,2012-12-25,32675.906744
12,2012-12-25,33111.931446
13,2012-12-25,33230.749477
14,2012-12-25,33309.579626
15,2012-12-25,33415.549269
16,2012-12-25,33628.094354
17,2012-12-25,34013.180143
18,2012-12-25,35913.85166
19,2012-12-25,38372.279489
20,2012-12-25,39150.573913
21,2012-12-25,39718.646878
22,2012-12-25,39766.038908
23,2012-12-25,38924.708698
