Year,Month,Day,Temp
1995,1,1,12.6
1995,1,2,19.9
1995,1,3,9.2
1995,1,4,6.2
1995,1,5,16
1995,1,6,17.8
1995,1,7,19.8
1995,1,8,24.2
1995,1,9,36.3
1995,1,10,45.4
1995,1,11,50.9
1995,1,12,42.8
1995,1,13,36.4
1995,1,14,25.9
1995,1,15,25.4
1995,1,16,24.5
1995,1,17,22.7
1995,1,18,25.8
1995,1,19,33
1995,1,20,33.7
1995,1,21,22.7
1995,1,22,24.8
1995,1,23,25.5
1995,1,24,30.3
1995,1,25,25.4
1995,1,26,31.4
1995,1,27,34.6
1995,1,28,34
1995,1,29,30.7
1995,1,30,35.2
1995,1,31,44
1995,2,1,49.1
1995,2,2,42.1
1995,2,3,36.9
1995,2,4,38.1
1995,2,5,35.3
1995,2,6,30.1
1995,2,7,25.9
1995,2,8,26.8
1995,2,9,33.3
1995,2,10,26.2
1995,2,11,11.5
1995,2,12,7.6
1995,2,13,2.7
1995,2,14,13.3
1995,2,15,8.2
1995,2,16,23.7
1995,2,17,36.9
1995,2,18,46.9
1995,2,19,41.9
1995,2,20,49.6
1995,2,21,52
1995,2,22,48.9
1995,2,23,38
1995,2,24,43.3
1995,2,25,54
1995,2,26,38.1
1995,2,27,20.9
1995,2,28,8.7
1995,3,1,3.7
1995,3,2,9
1995,3,3,20.2
1995,3,4,14
1995,3,5,1.3
1995,3,6,-1.8
1995,3,7,-2.1
1995,3,8,4.8
1995,3,9,27.5
1995,3,10,49.7
1995,3,11,55.9
1995,3,12,52.9
1995,3,13,49.8
1995,3,14,49.9
1995,3,15,50.1
1995,3,16,52.4
1995,3,17,37.7
1995,3,18,40.5
1995,3,19,52.1
1995,3,20,42.9
1995,3,21,47
1995,3,22,47.8
1995,3,23,45.5
1995,3,24,48.8
1995,3,25,44.4
1995,3,26,34.6
1995,3,27,31.5
1995,3,28,29
1995,3,29,25.6
1995,3,30,28.3
1995,3,31,33.6
1995,4,1,46.8
1995,4,2,50.8
1995,4,3,45.1
1995,4,4,34.4
1995,4,5,47.2
1995,4,6,49.3
1995,4,7,49.2
1995,4,8,40.4
1995,4,9,28.3
1995,4,10,24.6
1995,4,11,24.4
1995,4,12,36.3
1995,4,13,44.2
1995,4,14,40.4
1995,4,15,44.3
1995,4,16,43.6
1995,4,17,39.7
1995,4,18,35.1
1995,4,19,35.5
1995,4,20,35.4
1995,4,21,37.6
1995,4,22,41.8
1995,4,23,45.7
1995,4,24,40.8
1995,4,25,45.7
1995,4,26,37
1995,4,27,39.3
1995,4,28,41.4
1995,4,29,36.6
1995,4,30,39.1
1995,5,1,38.6
1995,5,2,43
1995,5,3,44.5
1995,5,4,47.1
1995,5,5,49.1
1995,5,6,49.8
1995,5,7,52.9
1995,5,8,53.1
1995,5,9,45.3
1995,5,10,52.2
1995,5,11,56.7
1995,5,12,59.2
1995,5,13,44.7
1995,5,14,45.2
1995,5,15,58.7
1995,5,16,59
1995,5,17,49
1995,5,18,53.3
1995,5,19,58.6
1995,5,20,52.8
1995,5,21,57.3
1995,5,22,50.1
1995,5,23,47.8
1995,5,24,48.4
1995,5,25,50.4
1995,5,26,52.6
1995,5,27,52.3
1995,5,28,52.4
1995,5,29,55.5
1995,5,30,59.4
1995,5,31,58.1
1995,6,1,65.2
1995,6,2,66.6
1995,6,3,64.1
1995,6,4,61.8
1995,6,5,63.5
1995,6,6,66.8
1995,6,7,58.4
1995,6,8,44.5
1995,6,9,43.3
1995,6,10,46.9
1995,6,11,55
1995,6,12,61.1
1995,6,13,70.6
1995,6,14,72.8
1995,6,15,76.5
1995,6,16,77.1
1995,6,17,72.7
1995,6,18,70
1995,6,19,68.8
1995,6,20,71.1
1995,6,21,72
1995,6,22,63.7
1995,6,23,61.9
1995,6,24,60.8
1995,6,25,61
1995,6,26,62
1995,6,27,65.8
1995,6,28,58.8
1995,6,29,57
1995,6,30,52.5
1995,7,1,58.9
1995,7,2,66.1
1995,7,3,65.1
1995,7,4,64.2
1995,7,5,62.9
1995,7,6,67.1
1995,7,7,71.1
1995,7,8,75.4
1995,7,9,75.9
1995,7,10,79.1
1995,7,11,79.6
1995,7,12,79.6
1995,7,13,77.6
1995,7,14,67.1
1995,7,15,68.8
1995,7,16,65.8
1995,7,17,66.8
