"Subject","Session","Trial","FarAway","Littered","PictureTarget.RT","Side"
10,1,1,0,0,635,"right"
10,1,2,0,0,1144,"left"
10,1,3,0,0,570,"left"
10,1,4,0,0,589,"left"
10,1,5,0,0,754,"left"
10,1,6,0,0,601,"left"
10,1,7,0,0,507,"right"
10,1,8,0,0,469,"right"
10,1,9,0,0,567,"right"
10,1,10,0,0,783,"right"
10,2,1,0,0,493,"left"
10,2,2,0,0,552,"left"
10,2,3,0,0,552,"right"
10,2,4,0,0,605,"right"
10,2,5,0,0,625,"left"
10,2,6,0,0,424,"right"
10,2,7,0,0,407,"left"
10,2,8,0,0,466,"right"
10,2,9,0,0,711,"right"
10,2,10,0,0,470,"left"
10,3,1,0,0,537,"right"
10,3,2,0,0,401,"left"
10,3,3,0,0,402,"left"
10,3,4,0,0,408,"right"
10,3,5,0,0,409,"left"
10,3,6,0,0,434,"right"
10,3,7,0,0,459,"left"
10,3,8,0,0,462,"right"
10,3,9,0,0,469,"right"
10,3,10,0,0,516,"left"
10,4,1,0,0,403,"right"
10,4,2,0,0,378,"left"
10,4,3,0,0,378,"left"
10,4,4,0,0,413,"right"
10,4,5,0,0,407,"right"
10,4,6,0,0,423,"right"
10,4,7,0,0,414,"right"
10,4,8,0,0,560,"left"
10,4,9,0,0,399,"left"
10,4,10,0,0,523,"left"
12,1,1,0,0,502,"right"
12,1,2,0,0,529,"left"
12,1,3,0,0,416,"right"
12,1,4,0,0,518,"left"
12,1,5,0,0,467,"right"
12,1,6,0,0,528,"left"
12,1,7,0,0,556,"right"
12,1,8,0,0,483,"right"
12,1,9,0,0,496,"left"
12,1,10,0,0,554,"left"
12,2,1,0,0,475,"left"
12,2,2,0,0,423,"right"
12,2,3,0,0,439,"right"
12,2,4,0,0,438,"right"
12,2,5,0,0,455,"left"
12,2,6,0,0,429,"right"
12,2,7,0,0,447,"right"
12,2,8,0,0,467,"left"
12,2,9,0,0,477,"left"
12,2,10,0,0,508,"left"
12,3,1,0,0,499,"left"
12,3,2,0,0,426,"right"
12,3,3,0,0,460,"left"
12,3,4,0,0,431,"right"
12,3,5,0,0,409,"left"
12,3,6,0,0,470,"right"
12,3,7,0,0,514,"right"
12,3,8,0,0,522,"right"
12,3,9,0,0,587,"left"
12,3,10,0,0,563,"left"
12,4,1,0,0,477,"left"
12,4,2,0,0,624,"right"
12,4,3,0,0,538,"left"
12,4,4,0,0,481,"left"
12,4,5,0,0,486,"right"
12,4,6,0,0,484,"right"
12,4,7,0,0,412,"left"
12,4,8,0,0,392,"right"
12,4,9,0,0,451,"right"
12,4,10,0,0,477,"left"
13,1,1,0,0,490,"left"
13,1,2,0,0,393,"right"
13,1,3,0,0,473,"left"
13,1,4,0,0,376,"left"
13,1,5,0,0,406,"right"
13,1,6,0,0,489,"right"
13,1,7,0,0,573,"right"
13,1,8,0,0,430,"right"
13,1,9,0,0,871,"left"
13,1,10,0,0,452,"left"
13,2,1,0,0,401,"right"
13,2,2,0,0,367,"right"
13,2,3,0,0,386,"right"
13,2,4,0,0,484,"left"
13,2,5,0,0,459,"right"
13,2,6,0,0,409,"left"
13,2,7,0,0,472,"right"
13,2,8,0,0,389,"left"
13,2,9,0,0,406,"left"
13,2,10,0,0,417,"left"
13,3,1,0,0,516,"left"
13,3,2,0,0,677,"right"
13,3,3,0,0,504,"right"
13,3,4,0,0,431,"right"
13,3,5,0,0,472,"left"
13,3,6,0,0,549,"right"
13,3,7,0,0,429,"left"
13,3,8,0,0,407,"left"
13,3,9,0,0,415,"right"
13,3,10,0,0,362,"left"
13,4,1,0,0,430,"right"
13,4,2,0,0,405,"right"
13,4,3,0,0,447,"right"
13,4,4,0,0,465,"left"
13,4,5,0,0,375,"right"
13,4,6,0,0,443,"left"
13,4,7,0,0,431,"left"
13,4,8,0,0,381,"right"
13,4,9,0,0,398,"left"
13,4,10,0,0,368,"left"
14,1,1,0,0,580,"right"
14,1,2,0,0,611,"right"
14,1,3,0,0,520,"left"
14,1,4,0,0,431,"left"
14,1,5,0,0,497,"left"
14,1,6,0,0,495,"left"
14,1,7,0,0,506,"right"
14,1,8,0,0,557,"left"
14,1,9,0,0,442,"right"
14,1,10,0,0,540,"right"
14,2,1,0,0,599,"left"
14,2,2,0,0,327,"left"
14,2,3,0,0,355,"right"
14,2,4,0,0,372,"right"
14,2,5,0,0,388,"left"
14,2,6,0,0,707,"right"
14,2,7,0,0,436,"left"
14,2,8,0,0,433,"right"
14,2,9,0,0,410,"right"
14,2,10,0,0,424,"left"
14,3,1,0,0,614,"right"
14,3,2,0,0,502,"left"
14,3,3,0,0,610,"right"
14,3,4,0,0,525,"left"
14,3,5,0,0,584,"left"
14,3,6,0,0,488,"left"
14,3,7,0,0,423,"left"
14,3,8,0,0,440,"right"
14,3,9,0,0,428,"right"
14,3,10,0,0,472,"right"
14,4,1,0,0,391,"left"
14,4,2,0,0,496,"right"
14,4,3,0,0,296,"left"
14,4,4,0,0,466,"left"
14,4,5,0,0,469,"right"
14,4,6,0,0,716,"right"
14,4,7,0,0,477,"left"
14,4,8,0,0,448,"right"
14,4,9,0,0,480,"right"
14,4,10,0,0,434,"left"
15,1,1,0,0,395,"left"
15,1,2,0,0,597,"right"
15,1,3,0,0,590,"left"
15,1,4,0,0,567,"right"
15,1,5,0,0,453,"right"
15,1,6,0,0,559,"right"
15,1,7,0,0,671,"left"
15,1,8,0,0,431,"right"
15,1,9,0,0,475,"left"
15,1,10,0,0,482,"left"
15,2,1,0,0,527,"left"
15,2,2,0,0,585,"left"
15,2,3,0,0,518,"left"
15,2,4,0,0,453,"left"
15,2,5,0,0,449,"right"
15,2,6,0,0,458,"left"
15,2,7,0,0,415,"right"
15,2,8,0,0,463,"right"
15,2,9,0,0,484,"right"
15,2,10,0,0,451,"right"
