id,trim,subTrim,condition,isOneOwner,mileage,year,color,displacement,fuel,state,region,soundSystem,wheelType,wheelSize,featureCount,price,miles1K
177,550,unsp,CPO,f,30851,2011,Black,5.5 L,Gasoline,TX,WSC,unsp,Alloy,unsp,57,55695,30.851
178,550,unsp,Used,f,30351,2011,White,5.5 L,Gasoline,CA,Pac,Harman Kardon,Alloy,unsp,56,52888,30.351
179,550,unsp,Used,t,20425,2011,Black,5.5 L,Gasoline,NC,SoA,Harman Kardon,Alloy,unsp,84,58995,20.425
183,550,unsp,Used,f,51066,2011,Black,5.5 L,Gasoline,GA,SoA,Harman Kardon,unsp,unsp,60,44999,51.066
187,550,unsp,Used,f,28752,2011,White,5.5 L,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,77,56995,28.752
192,550,unsp,Used,f,24922,2011,Silver,5.5 L,Gasoline,CA,Pac,Harman Kardon,Alloy,unsp,38,56971,24.922
193,550,unsp,Used,f,30714,2011,Black,5.5 L,Gasoline,CA,Pac,Harman Kardon,Alloy,unsp,56,45000,30.714
194,550,unsp,CPO,f,32905,2011,Black,5.5 L,Gasoline,CA,Pac,Harman Kardon,Alloy,unsp,73,55999,32.905
198,550,unsp,Used,t,32886,2011,Silver,5.5 L,Gasoline,FL,SoA,Premium,Alloy,18,72,38999,32.886
202,550,unsp,CPO,f,31167,2011,Black,5.5 L,Gasoline,GA,SoA,Premium,Alloy,unsp,84,48992,31.167
203,550,unsp,CPO,f,29025,2011,Black,5.5 L,Gasoline,GA,SoA,Premium,Alloy,unsp,109,49992,29.025
206,550,unsp,Used,t,27481,2011,Silver,5.5 L,Gasoline,GA,SoA,unsp,unsp,unsp,0,56877,27.481
207,550,unsp,Used,f,59478,2011,Black,5.5 L,Gasoline,FL,SoA,Harman Kardon,unsp,unsp,22,47991,59.478
238,63 AMG,unsp,Used,f,53500,2011,Black,5.5 L,Gasoline,OK,WSC,Premium,Alloy,unsp,78,64000,53.5
292,550,unsp,Used,f,36031,2011,Black,5.5 L,Gasoline,GA,SoA,Premium,Premium,unsp,52,46994,36.031
297,550,unsp,Used,t,35309,2011,Black,5.5 L,Gasoline,GA,SoA,Harman Kardon,Alloy,unsp,70,49900,35.309
298,550,unsp,CPO,t,12974,2011,Black,5.5 L,Gasoline,NY,Mid,unsp,Alloy,unsp,79,52991,12.974
300,550,unsp,Used,f,61053,2011,Silver,5.5 L,Gasoline,MD,SoA,unsp,unsp,unsp,29,43295,61.053
301,550,unsp,CPO,f,33893,2011,Silver,5.5 L,Gasoline,NJ,Mid,Harman Kardon,Alloy,unsp,80,54948,33.893
308,550,unsp,Used,t,39315,2011,Gray,5.5 L,Gasoline,FL,SoA,unsp,Alloy,unsp,30,42999,39.315
309,550,unsp,Used,t,42571,2011,Silver,5.5 L,Gasoline,FL,SoA,Premium,Alloy,18,74,37999,42.571
310,550,unsp,Used,f,30948,2011,White,5.5 L,Gasoline,OH,ENC,unsp,unsp,unsp,0,51659,30.948
312,550,unsp,Used,f,38920,2011,Gray,5.5 L,Gasoline,AL,ESC,Premium,unsp,unsp,36,51995,38.92
314,550,unsp,Used,t,61005,2011,White,5.5 L,Gasoline,NJ,Mid,Harman Kardon,unsp,unsp,50,36000,61.005
315,550,unsp,Used,t,8556,2011,Silver,5.5 L,Gasoline,TX,WSC,Harman Kardon,Alloy,18,61,47995,8.556
319,550,unsp,Used,f,49725,2011,Silver,5.5 L,Gasoline,MD,SoA,unsp,Alloy,unsp,60,40935,49.725
321,550,unsp,Used,f,29150,2011,Silver,5.5 L,Gasoline,MS,ESC,unsp,Alloy,unsp,66,53800,29.15
322,550,unsp,Used,t,30490,2011,White,5.5 L,Gasoline,NY,Mid,unsp,Alloy,unsp,22,42995,30.49
842,550,unsp,Used,t,23159,2011,Black,5.5 L,Gasoline,TX,WSC,Harman Kardon,unsp,unsp,33,47838,23.159
848,550,unsp,CPO,f,29640,2011,Black,5.5 L,Gasoline,TN,ESC,unsp,unsp,unsp,1,60471,29.64
852,550,unsp,Used,f,58677,2011,Black,5.5 L,Gasoline,GA,SoA,Harman Kardon,Alloy,unsp,62,42995,58.677
854,550,unsp,CPO,t,19757,2011,Black,5.5 L,Gasoline,CA,Pac,unsp,unsp,unsp,57,62888,19.757
860,550,unsp,Used,f,22856,2011,Black,5.5 L,Gasoline,VA,SoA,Harman Kardon,Alloy,unsp,53,42777,22.856
861,550,unsp,Used,t,32004,2011,Black,5.5 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,67500,32.004
