Season,Episode,US ViewersM,IMDB Rating
1,1,2.22,9
1,2,2.2,8.8
1,3,2.44,8.7
1,4,2.45,8.8
1,5,2.58,9.1
1,6,2.44,9.2
1,7,2.4,9.2
1,8,2.72,9
1,9,2.66,9.6
1,10,3.04,9.5
2,11,2.52,8.8
2,12,3.86,8.5
2,13,3.76,8.8
2,14,3.77,8.8
2,15,3.65,8.8
2,16,3.9,9.1
2,17,3.88,8.9
2,18,3.69,8.8
2,19,3.86,9.7
2,20,3.38,9.4
3,21,4.2,8.8
3,22,3.8,8.6
3,23,4.37,8.9
3,24,4.27,9.6
3,25,4.72,9
3,26,4.87,8.8
3,27,5.35,8.7
3,28,5.5,9
3,29,4.84,9.9
3,30,5.13,9.1
4,31,5.22,9.1
4,32,5.39,9.7
4,33,4.97,8.9
4,34,6.64,8.8
4,35,6.31,8.7
4,36,6.59,9.7
4,37,6.95,9.1
4,38,7.16,9.7
4,39,6.4,9.6
4,40,7.2,9.7
5,41,7.17,8.5
5,42,6.95,8.5
5,43,7.09,8.5
5,44,6.84,8.7
5,45,8,8.6
5,46,6.81,8
5,47,6.71,9
5,48,6.82,9.9
5,49,6.56,9.5
5,50,6.24,9.1
6,51,5.4,8.5
6,52,7.01,9.4
6,53,7.14,8.7
6,54,8.11,9.1
6,55,6.88,9.7
6,56,7.94,8.4
6,57,7.29,8.6
6,58,7.28,8.4
6,59,7.82,9.9
6,60,7.89,9.9
7,61,6.71,8.6
7,62,7.8,8.9
7,63,7.6,9.2
7,64,7.66,9.8
7,65,8.89,8.8
7,66,7.69,9.1
7,67,10.11,9.5
8,68,9.27,7.6
8,69,9.25,7.9
8,70,10.17,7.5
8,71,10.72,5.5
8,72,10.24,6.1
8,73,12.07,4.2
